Collection Object GUID,Metadata Text,DNA Sequences Text3,Genbank #
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869bf6-a0b5-11ed-803c-6c2b597b15e2,KM207619
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869dab-a0b5-11ed-803c-6c2b597b15e2,KM207596
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869dfa-a0b5-11ed-803c-6c2b597b15e2,KM207640
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869e41-a0b5-11ed-803c-6c2b597b15e2,KM207618
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869e8c-a0b5-11ed-803c-6c2b597b15e2,KM207617
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869ed6-a0b5-11ed-803c-6c2b597b15e2,KM207594
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869f1d-a0b5-11ed-803c-6c2b597b15e2,KM207642
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869f70-a0b5-11ed-803c-6c2b597b15e2,KM207595
dcd6147f-1ed3-11e3-bfac-90b11c41863e,,54869fc1-a0b5-11ed-803c-6c2b597b15e2,KM207641
dca55f87-1ed3-11e3-bfac-90b11c41863e,,5486a009-a0b5-11ed-803c-6c2b597b15e2,KM207620
dca55f87-1ed3-11e3-bfac-90b11c41863e,,5486a051-a0b5-11ed-803c-6c2b597b15e2,KM207643
dca55f87-1ed3-11e3-bfac-90b11c41863e,,5486a09a-a0b5-11ed-803c-6c2b597b15e2,KM207597
db416e84-1ed3-11e3-bfac-90b11c41863e,,5486a0ec-a0b5-11ed-803c-6c2b597b15e2,KM207623
db416e84-1ed3-11e3-bfac-90b11c41863e,,5486a13e-a0b5-11ed-803c-6c2b597b15e2,KM207646
db416e84-1ed3-11e3-bfac-90b11c41863e,,5486a189-a0b5-11ed-803c-6c2b597b15e2,KM207647
db416e84-1ed3-11e3-bfac-90b11c41863e,,5486a1d7-a0b5-11ed-803c-6c2b597b15e2,KM207601
db416e84-1ed3-11e3-bfac-90b11c41863e,,5486a221-a0b5-11ed-803c-6c2b597b15e2,KM207624
db416e84-1ed3-11e3-bfac-90b11c41863e,,5486a26e-a0b5-11ed-803c-6c2b597b15e2,KM207600
dcb01866-1ed3-11e3-bfac-90b11c41863e,,5486a2ba-a0b5-11ed-803c-6c2b597b15e2,KM207602
dcb01866-1ed3-11e3-bfac-90b11c41863e,,5486a305-a0b5-11ed-803c-6c2b597b15e2,KM207648
dcb01866-1ed3-11e3-bfac-90b11c41863e,,5486a34e-a0b5-11ed-803c-6c2b597b15e2,KM207625
dcb076ff-1ed3-11e3-bfac-90b11c41863e,,5486a6bc-a0b5-11ed-803c-6c2b597b15e2,KM207652
dcb076ff-1ed3-11e3-bfac-90b11c41863e,,5486a70d-a0b5-11ed-803c-6c2b597b15e2,KM207629
dcb076ff-1ed3-11e3-bfac-90b11c41863e,,5486a755-a0b5-11ed-803c-6c2b597b15e2,KM207606
dcc04c84-1ed3-11e3-bfac-90b11c41863e,,5486a7a0-a0b5-11ed-803c-6c2b597b15e2,KM207658
dcc04c84-1ed3-11e3-bfac-90b11c41863e,,5486a7eb-a0b5-11ed-803c-6c2b597b15e2,KM207612
dcc04c84-1ed3-11e3-bfac-90b11c41863e,,5486a834-a0b5-11ed-803c-6c2b597b15e2,KM207634
dcc04c84-1ed3-11e3-bfac-90b11c41863e,,5486aa8a-a0b5-11ed-803c-6c2b597b15e2,KM207611
dcc04c84-1ed3-11e3-bfac-90b11c41863e,,5486aad8-a0b5-11ed-803c-6c2b597b15e2,KM207657
dcc04c84-1ed3-11e3-bfac-90b11c41863e,,5486ab23-a0b5-11ed-803c-6c2b597b15e2,KM207635
db448f87-1ed3-11e3-bfac-90b11c41863e,,5486ab68-a0b5-11ed-803c-6c2b597b15e2,KM207659
db448f87-1ed3-11e3-bfac-90b11c41863e,,5486abe9-a0b5-11ed-803c-6c2b597b15e2,KM207636
db448f87-1ed3-11e3-bfac-90b11c41863e,,5486ae73-a0b5-11ed-803c-6c2b597b15e2,KM207613
db849d56-1ed3-11e3-bfac-90b11c41863e,,5486aee6-a0b5-11ed-803c-6c2b597b15e2,KM207660
db849d56-1ed3-11e3-bfac-90b11c41863e,,5486af54-a0b5-11ed-803c-6c2b597b15e2,KM207614
db849d56-1ed3-11e3-bfac-90b11c41863e,,5486b169-a0b5-11ed-803c-6c2b597b15e2,KM207637
db80b010-1ed3-11e3-bfac-90b11c41863e,,5486b214-a0b5-11ed-803c-6c2b597b15e2,KM207638
db80b010-1ed3-11e3-bfac-90b11c41863e,,5486b489-a0b5-11ed-803c-6c2b597b15e2,KM207661
db80b010-1ed3-11e3-bfac-90b11c41863e,,5486b4fc-a0b5-11ed-803c-6c2b597b15e2,KM207615
dc6e6ae9-1ed3-11e3-bfac-90b11c41863e,,5486e8ce-a0b5-11ed-803c-6c2b597b15e2,U01326
0753f604-8742-41d0-a27c-4d73b07e1eb6,,548a0b20-a0b5-11ed-803c-6c2b597b15e2,KX139438
9519631d-38d6-4ce1-a151-19bc77d967d1,,548a4486-a0b5-11ed-803c-6c2b597b15e2,KX139437
