DIGITAL_ENTITY_ID	DIGITAL_ENTITY_TYPE	ACCESS_URI	WEB_STATEMENT	FORMAT	LICENSE	RIGHTS	RIGHTS_URI	ACCESS_RIGHTS	RIGHTS_HOLDER	SOURCE	SOURCE_URI	CREATOR	CREATED	MODIFIED	LANGUAGE	BIBLIOGRAPHIC_CITATION
id.gbif.ch/12114805	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_01.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/14446892	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_03.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/1158412735	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_06.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/661797346	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_02.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/472422594	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_07.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/4193431184	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_08.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/2405181465	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_04.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/3392823314	STILL_IMAGE	http://id.gbif.ch/images/mhng-mam-1079.094_05.jpg			CC-BY-NC				Manuel Ruedi	id.gbif.ch/MHNG-MAM-1079.094		Manuel Ruedi			en	
id.gbif.ch/1542933166	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/2289599522	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/4013798033	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/1451071954	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/2678867694	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/2239094733	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/2063709026	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/2648123790	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/242540810	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2022-12-21	2023-03-07		
id.gbif.ch/1831187705	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1804.094			2021-11-29	2021-11-29		
id.gbif.ch/1441102842	GENETIC_SEQUENCE								Manuel Ruedi	id.gbif.ch/MHNG-MAM-1989.097			2022-12-21			
